第一章危害国家安全罪,,,,,,,,,,,,,,,
113,非法吸收公众存款,刑法第176条,集资诈骗,,,,,,,,,,,,
114,[伪造、变造]金融票证,刑法第177条,,,,,,,,,,,,,
115,妨害信用卡管理,刑法第177条之一第1款,信用卡诈骗,,,,,,,,,,,,
116,[窃取、收买、非法提供]信用卡信息,刑法第177条之一第2款,,,,,,,,,,,,,
117,伪造、变造国家有价证券罪,刑法第178条第1款,,,,,,,,,,,,,
118,伪造、变造股票、公司、企业债券罪,刑法第178条第2款,,,,,,,,,,,,,
119,擅自发行股票、公司、企业债券罪,刑法第179条,,,,,,,,,,,,,
120,内幕交易、泄露内幕信息罪,刑法第180条,,,,,,,,,,,,,
121,利用未公开信息交易罪,刑法第180条第4款,泄露内幕信息罪,,,,,,,,,,,,
122,编造并传播证券、期货交易虚假信息罪,刑法第181条第1款,,,,,,,,,,,,,
123,诱骗投资者买卖证券、期货合约罪,刑法第181条第2款,,,,,,,,,,,,,
124,操纵证券、期货市场罪,刑法第182条,,,,,,,,,,,,,
125,背信运用受托财产罪,刑法第185条之一第1款,,,,,,,,,,,,,
126,违法运用资金罪,刑法第185条之一第2款,,,,,,,,,,,,,
127,违法发放贷款,刑法第186条第1款,,,,,,,,,,,,,
128,吸收客户资金不入账罪,刑法第187条,,,,,,,,,,,,,
129,违规出具金融票证罪,刑法第188条,,,,,,,,,,,,,
130,对违法票据承兑、付款、保证罪,刑法第189条,,,,,,,,,,,,,
131,骗购外汇罪,《全国人大常委会关于惩治骗购外汇、逃汇和非法买卖外汇犯罪的决定》第1条,,,,,,,,,,,,,
132,逃汇罪,刑法第190条,,,,,,,,,,,,,
133,洗钱,刑法第191条,,[组织、领导、参加]黑社会性质组织,入境发展黑社会组织罪,包庇、纵容黑社会性质组织罪,帮助恐怖活动罪,准备实施恐怖活动罪,宣扬恐怖主义、极端主义、煽动实施恐怖活动罪,,,,,窝藏、包庇罪,掩饰、隐瞒犯罪所得、犯罪所得收益罪
第五节金融诈骗罪,,,,,,,,,,,,,,,
134,集资诈骗,刑法第192条,非法吸收公众存款,,,,,,,,,,,,
135,贷款诈骗,刑法第193条,合同诈骗,,,,,,,,,,,,
136,票据诈骗,刑法第194条第1款,,,,,,,,,,,,,
137,金融凭证诈骗,刑法第194条第2款,,,,,,,,,,,,,
138,信用证诈骗罪,刑法第195条,,,,,,,,,,,,,
139,信用卡诈骗,刑法第196条,盗窃罪,,,,,,,,,,,,
140,有价证券诈骗罪,刑法第197条,,,,,,,,,,,,,
141,保险诈骗,刑法第198条,,,,,,,,,,,,,
非法[制造、出售]非法制造的发票罪,,,,,,,,,,,,,,,
142,逃税,刑法第201条,骗取出口退税,,,,,,,,,,,,
143,抗税罪,刑法第202条,,,,,,,,,,,,,
144,逃避追缴欠税罪,刑法第203条,,,,,,,,,,,,,
145,骗取出口退税罪,刑法第204条第1款,,,,,,,,,,,,,
146,[虚开增值税专用发票、用于骗取出口退税、抵扣税款发票],刑法第205条,,,,,,,,,,,,,
147,虚开发票,刑法第205条之一,,,,,,,,,,,,,
148,伪造、出售伪造的增值税专用发票罪,刑法第206条,,,,,,,,,,,,,
149,非法出售增值税专用发票罪,刑法第207条,,,,,,,,,,,,,
150,非法购买增值税专用发票、购买伪造的增值税专用发票罪,刑法第208条第1款,,,,,,,,,,,,,
151,非法制造、出售非法制造的用于骗取出口退税、抵扣税款发票罪,刑法第209条第1款,,,,,,,,,,,,,
152,非法[制造、出售]非法制造的发票,刑法第209条第2款,,,,,,,,,,,,,
153,非法出售用于骗取出口退税、抵扣税款发票罪,刑法第209条第3款,,,,,,,,,,,,,
154,非法出售发票,刑法第209条第4款,,,,,,,,,,,,,
155,持有伪造的发票,刑法第210条之一,,,,,,,,,,,,,
第七节侵犯知识产权罪,,,,,,,,,,,,,,,
156,假冒注册商标,刑法第213条,,,,,,,,,,,,,
157,销售假冒注册商标的商品,刑法第214条,,,,,,,,,,,,,
158,非法[制造、销售]非法制造的注册商标标识,刑法第215条,,,,,,,,,,,,,
159,假冒专利罪,刑法第216条,,,,,,,,,,,,,
160,侵犯著作权,刑法第217条,销售侵权复制品,,,,,,,,,,,,
161,销售侵权复制品,刑法第218条,侵犯著作权,,,,,,,,,,,,
162,侵犯商业秘密罪,刑法第219条,为境外窃取、刺探、收买、非法提供商业秘密罪,,,,,,,,,,,,
163,为境外窃取、刺探、收买、非法提供商业秘密罪,刑法第219条之一,,,,,,,,,,,,,
第八节扰乱市场秩序罪,,,,,,,,,,,,,,,
164,损害商业信誉、商品声誉罪,刑法第221条,,,,,,,,,,,,,
165,虚假广告罪,刑法第222条,,,,,,,,,,,,,
166,串通投标,刑法第223条,,,,,,,,,,,,,
167,合同诈骗,刑法第224条,诈骗罪,金融诈骗罪,,,,,,,,,,,
